Study_Area,Area,CreationDate,WTD__Female,WTD__Male__Mature,WTD__Male__Middle,WTD__Male__Young,WTD__Fawn,WTD__Unknown,Direction,WTD_Distance,WTD__Male__Unkown,Long_snapped,Lat_snapped,TransectID,Flight_Path,Transect_Length
La Copita Ranch,2710,2/9/2024 0:00,0,0,1,0,0,0,9,60,0,-98.20748415,27.657231589999999,5,S2N,4683.327083
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,8,70,0,-98.19743,27.665340000000000,1,S2N,2934.957693
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,8,70,0,-98.19961367,27.679540169999999,2,N2S,4971.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,4,100,0,-98.19957317,27.678586830000000,2,N2S,4972.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,11,50,0,-98.19928283,27.672262000000000,2,N2S,4973.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,3,50,0,-98.199423,27.667068000000000,2,N2S,4974.968729
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,10,60,0,-98.19933683,27.666034669999998,2,N2S,4975.968729
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,0,0,1,9,15,0,-98.199341,27.664016170000000,2,N2S,4976.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,0,0,1,3,60,0,-98.19968467,27.657321169999999,2,N2S,4977.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,1,0,0,3,40,0,-98.19966983,27.658277330000001,2,N2S,4978.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,1,0,0,0,2,10,0,-98.20141333,27.659859500000000,3,S2N,4984.758635
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,8,60,0,-98.20186383,27.664308330000001,3,S2N,4985.758635
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,1,0,4,60,0,-98.20247417,27.690318500000000,3,S2N,4986.758635
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,1,0,10,0,0,-98.204918,27.682566999999999,4,N2S,4986.192404
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,2,10,0,-98.20703817,27.667094169999999,5,S2N,4683.327083
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,1,20,0,-98.2072405,27.670361170000000,5,S2N,4684.327083
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,2,0,0,9,20,0,-98.20967517,27.678315999999999,6,N2S,4735.366235
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,2,80,0,-98.2100755,27.670430830000001,6,N2S,4736.366235
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,0,1,0,12,15,0,-98.20961083,27.665499329999999,6,N2S,4737.366235
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,0,0,0,1,10,0,-98.20950117,27.656532169999998,6,N2S,4738.366235
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,1,0,0,1,10,0,-98.209626,27.651702830000001,6,N2S,4739.366235
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,12,0,0,-98.20956267,27.647215330000002,6,N2S,4740.366235
La Copita Ranch,2710,2/9/2024 0:00,4,0,0,0,0,0,12,15,0,-98.21209717,27.671040330000000,7,S2N,4786.826963
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,2,80,0,-98.21180717,27.675004500000000,7,S2N,4787.826963
La Copita Ranch,2710,2/9/2024 0:00,4,0,0,0,0,0,12,80,0,-98.21490583,27.685826330000001,8,N2S,4834.615006
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,0,0,0,2,40,0,-98.21491067,27.681496500000002,8,N2S,4835.615006
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,12,15,0,-98.214845,27.665247000000001,8,N2S,4836.615006
La Copita Ranch,2710,2/9/2024 0:00,4,0,0,0,0,0,2,40,0,-98.2147525,27.658312830000000,8,N2S,4837.615006
La Copita Ranch,2710,2/9/2024 0:00,0,0,1,0,0,0,2,10,0,-98.214653,27.654644999999999,8,N2S,4838.615006
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,10,80,0,-98.21747267,27.647714000000001,9,S2N,1241.325649
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,1,0,0,3,50,0,-98.21697217,27.650056500000002,9,S2N,1242.325649
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,1,0,2,30,0,-98.1969885,27.665426000000000,1,S2N,2934.957693
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,6,0,0,-98.196909,27.667809170000002,1,S2N,2935.957693
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,10,60,0,-98.19704133,27.670240000000000,1,S2N,2936.957693
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,2,0,2,15,0,-98.19701533,27.689824170000001,1,S2N,2937.957693
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,11,50,0,-98.19950083,27.686945500000000,2,N2S,4971.968729
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,0,1,9,60,0,-98.19947983,27.684992170000001,2,N2S,4972.968729
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,2,30,0,-98.19950717,27.671648170000001,2,N2S,4973.968729
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,10,9,0,-98.19939867,27.666742500000002,2,N2S,4974.968729
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,1,0,12,10,0,-98.199522,27.649207830000002,2,N2S,4975.968729
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,9,10,0,-98.19941983,27.646569830000001,2,N2S,4976.968729
La Copita Ranch,2710,2/10/2024 0:00,4,0,0,0,2,0,12,60,0,-98.20212017,27.661623830000000,3,S2N,4984.758635
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,1,50,0,-98.20207,27.670744830000000,3,S2N,4985.758635
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,1,0,9,50,0,-98.201998,27.675833500000000,3,S2N,4986.758635
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,1,0,0,10,60,0,-98.20184883,27.679253670000001,3,S2N,4987.758635
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,0,1,7,60,0,-98.20461983,27.683399330000000,4,N2S,4986.192404
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,10,50,0,-98.204476,27.671170329999999,4,N2S,4987.192404
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,11,45,0,-98.204677,27.669110170000000,4,N2S,4988.192404
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,8,50,0,-98.20446333,27.670337669999999,4,N2S,4989.192404
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,1,0,12,55,0,-98.20442283,27.664661330000001,4,N2S,4990.192404
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,3,100,0,-98.2045625,27.660544330000000,4,N2S,4991.192404
La Copita Ranch,2710,2/10/2024 0:00,0,0,1,0,0,0,8,50,0,-98.2045535,27.659723499999998,4,N2S,4992.192404
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,3,100,0,-98.20455383,27.651612830000001,4,N2S,4993.192404
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,2,40,0,-98.20714883,27.659345670000000,5,S2N,4683.327083
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,7,60,0,-98.20727067,27.662275330000000,5,S2N,4684.327083
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,1,0,3,80,0,-98.20716033,27.664360670000001,5,S2N,4685.327083
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,7,60,0,-98.20712133,27.665381170000000,5,S2N,4686.327083
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,1,0,3,75,0,-98.20709583,27.672447500000001,5,S2N,4687.327083
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,1,0,1,30,0,-98.2070245,27.684866830000001,5,S2N,4688.327083
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,1,0,3,100,0,-98.20970617,27.682538330000000,6,N2S,4735.366235
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,1,0,0,11,80,0,-98.20977067,27.683444670000000,6,N2S,4736.366235
La Copita Ranch,2710,2/10/2024 0:00,0,0,1,0,0,0,12,30,0,-98.20975667,27.672600330000002,6,N2S,4737.366235
La Copita Ranch,2710,2/10/2024 0:00,1,0,1,0,1,0,3,60,0,-98.209866,27.670631000000000,6,N2S,4738.366235
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,1,50,0,-98.20978167,27.668641670000000,6,N2S,4739.366235
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,0,0,7,60,0,-98.20973817,27.666432000000000,6,N2S,4740.366235
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,1,0,8,50,0,-98.2095755,27.657882000000001,6,N2S,4741.366235
La Copita Ranch,2710,2/10/2024 0:00,0,1,0,0,0,0,12,5,0,-98.2121645,27.660375500000001,7,S2N,4786.826963
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,12,30,0,-98.21211883,27.670686000000000,7,S2N,4787.826963
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,0,0,8,100,0,-98.21213433,27.671671000000000,7,S2N,4788.826963
La Copita Ranch,2710,2/10/2024 0:00,0,0,1,0,0,0,2,40,0,-98.21210917,27.676344669999999,7,S2N,4789.826963
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,1,0,2,100,0,-98.21213667,27.677525830000000,7,S2N,4790.826963
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,2,0,11,30,0,-98.21210033,27.686581669999999,7,S2N,4791.826963
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,1,0,11,40,0,-98.21473667,27.682751499999998,8,N2S,4834.615006
La Copita Ranch,2710,2/10/2024 0:00,0,0,0,0,0,1,9,100,0,-98.214858,27.679889500000002,8,N2S,4835.615006
La Copita Ranch,2710,2/10/2024 0:00,4,0,0,0,0,0,1,70,0,-98.214756,27.672910999999999,8,N2S,4836.615006
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,1,0,0,3,100,0,-98.2148335,27.669820330000000,8,N2S,4837.615006
La Copita Ranch,2710,2/10/2024 0:00,4,0,0,0,0,0,1,60,0,-98.214756,27.665026000000001,8,N2S,4838.615006
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,3,100,0,-98.2147285,27.658708000000001,8,N2S,4839.615006
La Copita Ranch,2710,2/10/2024 0:00,0,0,1,0,0,0,2,40,0,-98.214783,27.662541170000001,8,N2S,4840.615006
La Copita Ranch,2710,2/10/2024 0:00,1,0,0,0,0,0,9,60,0,-98.21727583,27.645676500000000,9,S2N,1241.325649
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,0,0,6,0,0,-98.222379,27.655961999999999,11,S2N,1244.595592
La Copita Ranch,2710,2/10/2024 0:00,2,0,0,0,0,0,12,0,0,-98.22505083,27.645727669999999,12,N2S,1247.000379
